,store_ID,store_name,store_brand,store_depth1,store_address,store_phone,store_photo,store_hours,store_closed,store_seats,store_parking,store_remark,erp_code,ttms
0,13661,무안한양에드가점,빽다방,전라남도,전라남도 무안군 삼향읍 남악4로 86 (한양에드가 오피스텔 1차) 1층 110호,061-980-5113,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_044203.jpg,07:30 ~ 22:30,연중무휴,테이블 16개 / 좌석 32석,불가,,115069,
1,13659,진주하대점,빽다방,경상남도,경상남도 진주시 도동로 248 (하대동),055-920-8562,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_044022.jpg,08:00 ~ 21:00,연중무휴,테이블 13개 / 좌석 26석,불가,,,
2,13657,전주여의점,빽다방,전라북도,"전북 전주시 덕진구 온고을로 502, 1층",070-8680-3499,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_043840.jpg,06:30 - 20:00,연중무휴,테이블 22 / 좌석 44석,가능,,115063,
3,13655,대전가양네거리점,빽다방,대전광역시,대전 동구 가양동 412-8 1층,,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_043613.jpg,"평일 07:30 ~ 21:00
주말 08:00 ~ 21:00",연중무휴,테이블 13개 / 좌석 26석,가능,,115064,
4,13653,시흥정왕시장점,빽다방,경기도,경기 시흥시 정왕동 1191-8 1층,031-503-3928,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_043401.jpg,08:00 ~ 22:00,연중무휴,테이블 5개 / 좌석 10석,불가,,115052,
5,13651,대전선화하늘채점,빽다방,대전광역시,"대전광역시 중구 대종로594번길 52 (선화동, 하늘채스카이앤2차) 119호",070-5100-1119,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_043143.jpg,08:00 ~ 21:30,연중무휴,테이블 5개 / 좌석 10석,가능,,115044,
6,13649,워싱데이오산양산점,빽다방,경기도,경기 오산시 양산로 365 (양산동) 1층,031-377-3657,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_042921.jpg,07:30 - 20:00,연중무휴,테이블 6개 / 좌석 11석,가,,114984,
7,13647,광릉수목원점,빽다방,경기도,경기 포천시 소흘읍 광릉수목원로 698 (직동리) 1층,031-544-8481,https://theborndb.theborn.co.kr/wp-content/uploads/20260428_035432.jpg,"평일 09:00 ~ 20:00
주말 09:00 ~ 21:00",연중무휴,테이블 30개 / 좌석 70석,가능,,115128,
8,13644,세종봉안교차로점,빽다방,세종특별자치시,세종특별자치시 장군면 월현윗길 3 (봉안리) 1층,044-903-8709,https://theborndb.theborn.co.kr/wp-content/uploads/20260421_073107.jpg,"평일 07:30 ~ 22:00
주말 09:00 ~ 22:00",연중무휴,테이블 21개 / 좌석 42석,매장 뒤 주차가능,,115092,
9,13634,세종나성BRT점,빽다방,세종특별자치시,"세종특별자치시 나성동 746 1층, 에스제이타워 113호",070-5100-1101,https://theborndb.theborn.co.kr/wp-content/uploads/20260402_012029.jpg,"평일 07:00 ~ 20:30
주말 08:00 ~ 20:30",연중무휴,테이블 11개 / 좌석 22석,가능,,115009,
10,13624,제주애월구엄포구점(미니버전),빽다방,제주도,"제주특별자치도 제주시 애월읍 구엄리 606 , 1층 빽다방",070-4300-0443,https://theborndb.theborn.co.kr/wp-content/uploads/20260323_014639.jpg,08:00 ~ 20:00,연중무휴,T/O 전용,불가,,115049,
11,13605,오산공군기지점,빽다방,경기도,경기 평택시 신장동 229-17 2층,031-669-1515,https://theborndb.theborn.co.kr/wp-content/uploads/20260309_052252.jpg,"평일 08:30 ~ 20:30
주말 10:00 ~ 18:00",연중무휴,테이블 14개 / 좌석 28석,가능,,115021,
12,13603,광명초교점,빽다방,경기도,경기도 광명시 광명로928번길 16,02-6958-7991,https://theborndb.theborn.co.kr/wp-content/uploads/20260309_051925.jpg,07:30 ~ 22:00,연중무휴,테이블 19개 / 좌석 38석,불가,,114993,
13,13599,완주혁신점,빽다방,전라북도,"전북특별자치도 완주군 이서면 기지로 47, 103호",063-904-3330,https://theborndb.theborn.co.kr/wp-content/uploads/20260309_050627.png,"평일 08:00 ~ 21:00
주말 및 공휴일 09:00 ~ 21:00",연중무휴,테이블 7개 / 좌석 14석,불가,,115015,
14,13597,자양역점,빽다방,서울특별시,"서울 광진구 뚝섬로34길 67 (자양동, 광진트라팰리스) 1층",02-6954-0059,https://theborndb.theborn.co.kr/wp-content/uploads/20260309_043901.jpg,08:00 ~ 22:00,연중무휴,테이블 8개 / 좌석 16석,불가,,115011,
15,13576,종로꽃시장점,빽다방,서울특별시,서울 종로구 종로 255 (종로5가) 1층,070-4333-1040,https://theborndb.theborn.co.kr/wp-content/uploads/20260213_105824.jpg,"월-토요일 08:00 ~ 21:00
일요일 09:00 ~ 21:00",연중무휴,테이블 2개 / 좌석 4석,불가,,11501,
16,13573,목포활어회플라자점,빽다방,전라남도,"전남 목포시 고하대로 641-21 (산정동, 목포 활어회 플라자) 판매동 138호",061-274-2233,https://theborndb.theborn.co.kr/wp-content/uploads/20260213_105604.jpg,09:00 ~ 21:00,연중무휴,테이블 2개 / 좌석 4석,상가 내 주차장 이용,,115019,
17,13562,공주동학사점,빽다방,충청남도,충청남도 공주시 반포면 동학사1로 272,070-8838-0464,https://theborndb.theborn.co.kr/wp-content/uploads/20260202_021958.jpg,10:00 ~ 17:00,연중무휴,테이크아웃 매장,불가,,114996,
18,13560,부산일광신도시점,빽다방,부산광역시,부산광역시 기장군 일광읍 해빛6로 43-25,051-723-0714,https://theborndb.theborn.co.kr/wp-content/uploads/20260202_021649.jpg,08:00 ~ 22:00,연중무휴,테이블 9개 / 좌석 18석,가능,,114979,
19,13558,부천소사본점,빽다방,경기도,"경기 부천시 소사구 소사본동 82-4, 1층",070-4820-2589,https://theborndb.theborn.co.kr/wp-content/uploads/20260202_020250.jpg,"월-토요일 08:00 ~ 21:30
일요일 09:00 ~ 21:30",연중무휴,테이블 15개 / 좌석 30석,가능,,114974,
20,13544,빽다방 빵연구소 대구서재점,빽다방,대구광역시,"대구 달성군 다사읍 서재리 781 1층,2층",053-587-1608,https://theborndb.theborn.co.kr/wp-content/uploads/20260120_012617.jpg,08:00 ~ 21:00,연중무휴,테이블  80~100 / 좌석 200석,60~70대 주차 가능,,114926,
21,13541,길음뉴타운점,빽다방,서울특별시,"서울 성북구 길음로 33 (길음동, 길음뉴타운) 길음뉴타운제비동 제지하2층 9호",,https://theborndb.theborn.co.kr/wp-content/uploads/20260120_011306.jpg,08:00 ~ 21:30,연중무휴,테이블 15개 / 좌석 30석,가능,,114959,
22,13539,원주무극부대점,빽다방,강원도,강원특별자치도 원주시 가현동 5 (군부대內),,https://theborndb.theborn.co.kr/wp-content/uploads/20260120_010957.jpg,09:00 ~ 20:00,연중무휴,테이블 3개 / 좌석 15~20석,불가,,115002,
23,13529,청주복대대농점,빽다방,충청북도,충청북도 청주시 흥덕구 대농로 68(복대동),043-234-5509,https://theborndb.theborn.co.kr/wp-content/uploads/20260112_065706.jpg,08:00 ~ 20:00,연중무휴,테이블 14개 / 좌석 28석,불가,,114968,
24,13527,청계산입구역점,빽다방,서울특별시,"서울시 서초구 청계산로 217, 1층",,https://theborndb.theborn.co.kr/wp-content/uploads/20260112_064950.jpg,"평일 07:30 ~ 20:00
주말 08:00 ~ 21:00",연중무휴,테이블  15개 / 좌석 30석,불가,,114936,
25,13525,안산원곡군자점,빽다방,경기도,"경기 안산시 단원구 화랑로 32 (원곡동, 군자상사) 1층",070-4060-0701,https://theborndb.theborn.co.kr/wp-content/uploads/20260112_064543.jpg,09:30 ~ 21:30,연중무휴,테이블  12개 / 좌석 24석,불가,,114965,
26,13523,천안두정대우점,빽다방,충청남도,충남 천안시 서북구 두정로 244,041-565-7338,https://theborndb.theborn.co.kr/wp-content/uploads/20260109_012628.jpg,08:00 ~ 22:00,연중무휴,테이블 5개 / 좌석 10석,불가,,114980,
27,13462,김제신풍점,빽다방,전라북도,전북특별자치도 김제시 금성로 96 (신풍동),063-545-8259,https://theborndb.theborn.co.kr/wp-content/uploads/20260102_055736.jpg,08:00 ~ 20:00,연중무휴,테이블 11개 / 좌석 22,불가,,114967,
28,13460,전주아중견훤로점,빽다방,전라북도,전주시 덕진구 견훤로 233 (인후동1가) 1층,063-247-2050,https://theborndb.theborn.co.kr/wp-content/uploads/20260102_055512.jpg,08:00 ~ 21:00,연중무휴,테이블 8개 / 좌석 16석,불가,,114947,
29,13458,부산자갈치시장점,빽다방,부산광역시,"부산 중구 자갈치로 33 (남포동6가, 신천지) 1층",,https://theborndb.theborn.co.kr/wp-content/uploads/20260102_050929.jpg,"평일 08:00 ~ 19:00
주말 09:00 ~ 19:00",연중무휴,테이크아웃 전용,불가,,114955,
30,13456,인천가좌가림고점,빽다방,인천광역시,"인천 서구 원적로 63, 111호",0507-1346-3702,https://theborndb.theborn.co.kr/wp-content/uploads/20260102_025928.png,"평일 08:00 ~ 21:30
주말 09:00 ~ 21:30",연중무휴,테이블 7개 / 좌석 14석,가능,,114466,
31,13451,용인고림내안애점,빽다방,경기도,"경기 용인시 처인구 경안천로 120, 1층",031-336-1854,https://theborndb.theborn.co.kr/wp-content/uploads/20251224_024859.jpg,"평일 08:00 ~ 21:00
주말 09:00 ~ 21:00",연중무휴,테이블 8개 / 좌석 16석,가능,,114962,
32,13449,안양비산래미안점,빽다방,경기도,"경기 안양시 동안구 관악대로 133, 1층",031-442-1343,https://theborndb.theborn.co.kr/wp-content/uploads/20251224_024629.jpg,08:30 ~ 21:00,연중무휴,테이블 5개 / 좌석 10석,가능,,114963,
33,13447,구리인창삼거리점,빽다방,경기도,경기 구리시 동구릉로53번길 4 (인창동) 1층,031-566-2645,https://theborndb.theborn.co.kr/wp-content/uploads/20251224_024139.jpg,"평일 08:00 ~ 21:00
주말 09:00 ~ 21:00",연중무휴,테이블 11개 / 좌석 22석,불,,114935,
34,13443,영천망정점,빽다방,경상북도,경상북도 영천시 창신1길 42,054-333-8566,https://theborndb.theborn.co.kr/wp-content/uploads/20251222_043958.jpg,08:00 ~ 22:00,연중무휴,테이블  11개 / 좌석 22석,가능,,114939,
35,13441,대구동촌역점,빽다방,대구광역시,대구 동구 동촌로16길 16 (검사동) 1층,053-982-1124,https://theborndb.theborn.co.kr/wp-content/uploads/20251222_043757.jpg,"평일 08:00 - 22:00
주말 09:00 - 22:00",연중무휴,테이블 10개 / 좌석 20석,불가,,114958,
36,13439,염창역달빛거리점,빽다방,서울특별시,서울특별시 양천구 공항대로 618,02-2646-1163,https://theborndb.theborn.co.kr/wp-content/uploads/20251222_043426.jpg,"평일 08:00 ~ 20:00
주말 09:00 ~ 19:00",연중무휴,테이블 2개 / 좌석 4석,불가,,114922,
37,13432,속초터미널점,빽다방,강원도,"강원도 속초시 조양동 1419-5, 1층",070-5100-5180,https://theborndb.theborn.co.kr/wp-content/uploads/20251208_020300.jpg,08:00 ~ 22:00,연중무휴,테이블 19 / 좌석 38석,불가,,114912,
38,13429,천안용곡세광점,빽다방,충청남도,충청남도 천안시 동남구 풍세로 769-28,041-577-0410,https://theborndb.theborn.co.kr/wp-content/uploads/20251208_020009.jpg,08:00 ~ 22:00,연중무휴,테이블 11개 / 좌석 22석,불가,,114953,
39,13420,완주삼례터미널점,빽다방,전라북도,"전북 완주군 삼례읍 동학로 28, 1층 빽다방",063-291-8119,https://theborndb.theborn.co.kr/wp-content/uploads/20251124_022655.jpg,07:00 ~ 20:30,연중무휴,테이블  29개 / 좌석 58석,가능,,114909,
