,요일명,제목,작가명,평점
0,mon,신체,엄세윤 / 정썸머,9.83
1,mon,참교육,채용택 / 한가람,9.90
2,mon,환생천마,JP / 부겸 / 장영훈,9.94
3,mon,샤MONEY즘,나락 / 영기,9.82
4,mon,시한부 천재가 살아남는 법,JP / 윤승기 / 청시소,9.83
5,mon,절대검감,김두루미 / 티아이 / 한중월야,9.94
6,mon,생존지상주의,토이 / 싱싱,9.83
7,mon,백수세끼,치즈,9.86
8,mon,귀촌리,황양 / 이대한,9.95
9,mon,청부입학,강필 / 지뚱,9.78
10,mon,소녀의 세계,모랑지,9.92
11,mon,똑 닮은 딸,이담,9.98
12,mon,계속 써도 돈이 쌓임,나들이 / 포스스튜디오 / 운좋은놈,9.92
13,mon,파브르 in 사천당가,지대공마법소년 / 크라켄 / 에르훗,9.96
14,mon,먹는 인생2,홍끼,9.96
15,mon,시리도록 불꽃처럼,김인호 / 유진성,9.88
16,mon,회귀한 공작가의 막내도련님은 암살자,스윙뱃 / 커피라임,9.93
17,mon,아포칼립스에 집을 숨김,DD / 송지형 / 로드워리어,9.83
18,mon,천재 타자가 강속구를 숨김,"황지성 / 스튜디오MW, 김성은 / 이블라인",9.87
19,mon,변경백의 10클래스 망나니,양평 / 시연 / 플린,9.83
20,mon,영업 천재가 되었다,혜림 / 댄킴,9.94
21,mon,그린스킨,승기사 / 파김치 / 흙수저,9.87
22,mon,검 먹는 소드마스터,양명 / 진범,9.81
23,mon,수상한 다이어트 클럽,스프링,9.89
24,mon,세림의 철칙,세윤 / 써나,9.93
25,mon,대공비가 체질입니다,LICO / 챰이 / 레치모나,9.97
26,mon,다정한 침입자,이니 / 정유한,9.96
27,mon,신화급 귀속 아이템을 손에 넣었다,판테라 / 헤스 / 정선율,9.69
28,mon,어린이집 다니는 구나,구나,9.97
29,mon,우주천마 3077,산하 / 김대영 / 녹색여우,9.68
30,mon,장편단편선,기주주,9.93
31,mon,중세 판타지 속 망나니 경비조장,스튜디오MW / 혜륜 / 곰돌이는,9.73
32,mon,조선야차,"두엽, 지존세호 / 미노",9.89
33,mon,망플루언서,망순,9.77
34,mon,천마 아포칼립스,PSG / 빅터 / 짤짤이,8.97
35,mon,고블린 주식회사,"살려주세요, 몬 / 번인",9.73
36,mon,이혼자녀,051,9.93
37,mon,좀비묵시록 82-08,"달아 / 아쿠아콘, 경우 / 박스오피스",9.81
38,mon,빌런의 순정,수민 / 로즈빈,9.96
39,mon,연애리뷰,"송채윤, 평강 / 라희",9.86
40,mon,상사폭행,레블스튜디오 / 이도엽,9.87
41,mon,"정신 차려, 전승연",제민,9.55
42,mon,포도가 익기 전에,삼태,9.94
43,mon,공포 쯔꾸르 생존기,LICO / 파급효과,9.86
44,mon,비공식 CC,백유안,9.87
45,mon,구야는 신입,구야,9.93
46,mon,프레스턴 경의 비밀 가정교사,오로라 스튜디오 / 성하,9.96
